,광역시도,시도,20-39세여자,20-39세합계,65세 이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역,ID
0,강원도,강릉시,23098.0,49384.0,37679.0,106231.0,107615.0,213846.0,1.2260410308129197,False,강릉
1,강원도,고성군,2529.0,7023.0,7151.0,15899.0,14215.0,30114.0,0.7073136624248357,True,고성(강원)
2,강원도,동해시,9753.0,21264.0,15124.0,47166.0,46131.0,93297.0,1.2897381645067445,False,동해
3,강원도,삼척시,7115.0,15823.0,14610.0,35253.0,34346.0,69599.0,0.973990417522245,True,삼척
4,강원도,속초시,8752.0,18708.0,12752.0,40288.0,41505.0,81793.0,1.3726474278544545,False,속초
5,강원도,양구군,2481.0,6849.0,4108.0,12918.0,11092.0,24010.0,1.2078870496592016,False,양구
6,강원도,양양군,2171.0,5087.0,6981.0,13838.0,13380.0,27218.0,0.6219739292364991,True,양양
7,강원도,영월군,3134.0,7159.0,9915.0,20652.0,19421.0,40073.0,0.632173474533535,True,영월
8,강원도,원주시,43164.0,88919.0,42246.0,167854.0,170125.0,337979.0,2.0434597358329785,False,원주
9,강원도,인제군,3449.0,8961.0,5602.0,17677.0,15043.0,32720.0,1.231345947875759,False,인제
10,강원도,정선군,3297.0,7435.0,9008.0,19975.0,18743.0,38718.0,0.7320159857904085,True,정선
11,강원도,철원군,4714.0,12632.0,9112.0,25429.0,22584.0,48013.0,1.034679543459175,False,철원
12,강원도,춘천시,35422.0,72595.0,41699.0,138251.0,142456.0,280707.0,1.6989376244034629,False,춘천
13,강원도,태백시,4643.0,9976.0,9266.0,23899.0,23171.0,47070.0,1.002158428663933,False,태백
14,강원도,평창군,3585.0,7962.0,9837.0,22126.0,21192.0,43318.0,0.7288807563281489,True,평창
15,강원도,홍천군,6258.0,14158.0,14933.0,35738.0,34338.0,70076.0,0.8381437085649234,True,홍천
16,강원도,화천군,2643.0,8040.0,4806.0,14554.0,11710.0,26264.0,1.0998751560549314,False,화천
17,강원도,횡성군,3789.0,8301.0,11323.0,23398.0,22593.0,45991.0,0.6692572639759781,True,횡성
18,경기도,가평군,5771.0,12795.0,13569.0,31981.0,30467.0,62448.0,0.8506153732773233,True,가평
19,경기도,고양시,145020.0,288743.0,114092.0,510923.0,528761.0,1039684.0,2.5421589594362444,False,고양
20,경기도,과천시,8315.0,16897.0,7735.0,31013.0,32765.0,63778.0,2.149967679379444,False,과천
21,경기도,광명시,47807.0,97316.0,36549.0,168241.0,171243.0,339484.0,2.6160496867219347,False,광명
22,경기도,광주시,45073.0,94763.0,35203.0,168345.0,159378.0,327723.0,2.560747663551402,False,광주
23,경기도,구리시,26941.0,54673.0,20623.0,96397.0,97366.0,193763.0,2.6127139601415896,False,구리
24,경기도,군포시,41049.0,84232.0,28530.0,141647.0,143243.0,284890.0,2.877602523659306,False,군포
25,경기도,권선구,56279.0,116570.0,30924.0,180766.0,177627.0,358393.0,3.6398266718406416,False,수원 권선
26,경기도,기흥구,58658.0,115524.0,42832.0,206316.0,210847.0,417163.0,2.7389802017183413,False,용인 기흥
27,경기도,김포시,49660.0,99581.0,40505.0,182597.0,180846.0,363443.0,2.452042957659548,False,김포
28,경기도,남양주시,86835.0,174251.0,75986.0,330749.0,331405.0,662154.0,2.285552601795068,False,남양주
29,경기도,단원구,43619.0,93239.0,24530.0,161915.0,152087.0,314002.0,3.556379942927028,False,안산 단원
30,경기도,덕양구,61556.0,124693.0,54412.0,221496.0,224737.0,446233.0,2.262589134749688,False,고양 덕양
31,경기도,동두천시,11634.0,24201.0,16172.0,48970.0,49307.0,98277.0,1.4387830818698986,False,동두천
32,경기도,동안구,49730.0,100976.0,31371.0,170166.0,174895.0,345061.0,3.1704440406745085,False,안양 동안
33,경기도,만안구,36093.0,75611.0,30304.0,126793.0,125560.0,252353.0,2.382061774023231,False,안양 만안
34,경기도,부천시,125233.0,258286.0,86218.0,425101.0,426279.0,851380.0,2.9050314319515644,False,부천
35,경기도,분당구,77174.0,149581.0,50863.0,244502.0,259328.0,503830.0,3.0345830957670605,False,성남 분당
36,경기도,상록구,53671.0,113973.0,32620.0,191479.0,184378.0,375857.0,3.290680564071122,False,안산 상록
37,경기도,성남시,144389.0,292035.0,109744.0,483374.0,491206.0,974580.0,2.631378480828109,False,성남
38,경기도,소사구,41744.333333333336,86095.33333333333,28739.33333333333,141700.33333333334,142093.0,283793.3333333333,2.905031431951565,False,부천 소사
39,경기도,수원시,183461.0,380940.0,103992.0,601152.0,592889.0,1194041.0,3.528367566735903,False,수원
40,경기도,수정구,33210.0,70947.0,30078.0,118343.0,114498.0,232841.0,2.208258527827648,False,성남 수정
41,경기도,수지구,47997.0,92598.0,38388.0,170217.0,177616.0,347833.0,2.500625195373554,False,용인 수지
42,경기도,시흥시,53502.0,116371.0,31650.0,211392.0,191496.0,402888.0,3.38085308056872,False,시흥
43,경기도,안산시,97290.0,207212.0,57150.0,353394.0,336465.0,689859.0,3.4047244094488187,False,안산
44,경기도,안성시,22206.0,47656.0,26606.0,93389.0,89507.0,182896.0,1.6692475381492895,False,안성
45,경기도,안양시,85823.0,176587.0,61675.0,296959.0,300455.0,597414.0,2.7830725577624644,False,안양
46,경기도,양주시,24392.0,50529.0,26708.0,104235.0,101278.0,205513.0,1.826568818331586,False,양주
47,경기도,양평군,10611.0,22599.0,23614.0,56285.0,55082.0,111367.0,0.8987041585500127,True,양평
48,경기도,여주시,12220.0,25849.0,19778.0,56445.0,55118.0,111563.0,1.2357164526241278,False,여주
49,경기도,연천군,4411.0,10946.0,10162.0,24090.0,21817.0,45907.0,0.8681361936626648,True,연천
50,경기도,영통구,56425.0,115702.0,19142.0,171452.0,169202.0,340654.0,5.895413227457946,False,수원 영통
51,경기도,오산시,31887.0,67261.0,16015.0,107056.0,101600.0,208656.0,3.9821417421167657,False,오산
52,경기도,오정구,41744.333333333336,86095.33333333333,28739.33333333333,141700.33333333334,142093.0,283793.3333333333,2.905031431951565,False,부천 오정
53,경기도,용인시,135898.0,270176.0,108968.0,492374.0,498752.0,991126.0,2.494273548197636,False,용인
54,경기도,원미구,41744.333333333336,86095.33333333333,28739.33333333333,141700.33333333334,142093.0,283793.3333333333,2.905031431951565,False,부천 원미
55,경기도,의왕시,21551.0,44876.0,16912.0,78304.0,78459.0,156763.0,2.54860454115421,False,의왕
56,경기도,의정부시,58697.0,119573.0,55396.0,216400.0,222057.0,438457.0,2.119178280020218,False,의정부
57,경기도,이천시,28026.0,58577.0,25380.0,107044.0,103315.0,210359.0,2.2085106382978723,False,이천
58,경기도,일산동구,42571.0,83700.0,29216.0,142947.0,149665.0,292612.0,2.914225082146769,False,고양 일산동
59,경기도,일산서구,40893.0,80350.0,30464.0,146480.0,154359.0,300839.0,2.6846769957983194,False,고양 일산서
60,경기도,장안구,41481.0,87219.0,30116.0,148987.0,147492.0,296479.0,2.7547483065480143,False,수원 장안
61,경기도,중원구,34005.0,71507.0,28803.0,120529.0,117380.0,237909.0,2.361212373711072,False,성남 중원
62,경기도,처인구,29243.0,62054.0,27748.0,115841.0,110289.0,226130.0,2.1077555139109125,False,용인 처인
63,경기도,파주시,57352.0,120511.0,51980.0,218565.0,212216.0,430781.0,2.206694882647172,False,파주
64,경기도,팔달구,29276.0,61449.0,23810.0,99947.0,98568.0,198515.0,2.459134817303654,False,수원 팔달
65,경기도,평택시,62672.0,134045.0,53090.0,240345.0,230487.0,470832.0,2.3609719344509323,False,평택
66,경기도,포천시,16384.0,36354.0,24292.0,81291.0,73472.0,154763.0,1.3489214556232505,False,포천
67,경기도,하남시,30193.0,61832.0,23306.0,106472.0,104629.0,211101.0,2.591006607740496,False,하남
68,경기도,화성시,93228.0,193529.0,52875.0,330923.0,309967.0,640890.0,3.526354609929078,False,화성
69,경상남도,거제시,34744.0,77489.0,20932.0,135738.0,121445.0,257183.0,3.319701891840245,False,거제
70,경상남도,거창군,5609.0,12133.0,15591.0,30746.0,32562.0,63308.0,0.7195176704509012,True,거창
71,경상남도,고성군,4486.0,10345.0,14462.0,27452.0,27251.0,54703.0,0.6203844558152399,True,고성(경남)
72,경상남도,김해시,68849.0,143089.0,47975.0,267513.0,261909.0,529422.0,2.8702032308494005,False,김해
73,경상남도,남해군,2932.0,6647.0,15692.0,21566.0,23563.0,45129.0,0.3736936018353301,True,남해
74,경상남도,마산합포구,21300.0,46336.0,30525.0,90716.0,91081.0,181797.0,1.3955773955773956,False,창원 합포
75,경상남도,마산회원구,25803.0,55452.0,26727.0,106469.0,104322.0,210791.0,1.9308564373105848,False,창원 회원
76,경상남도,밀양시,9647.0,21371.0,25611.0,52992.0,55362.0,108354.0,0.753348170707899,True,밀양
77,경상남도,사천시,11922.0,26503.0,21502.0,57698.0,57214.0,114912.0,1.1089201004557716,False,사천
78,경상남도,산청군,2461.0,5561.0,11638.0,17666.0,18432.0,36098.0,0.4229249011857707,True,산청
79,경상남도,성산구,32213.0,69577.0,13543.0,118468.0,113103.0,231571.0,4.757143911984051,False,창원 성산
80,경상남도,양산시,42205.0,87851.0,35131.0,159503.0,157534.0,317037.0,2.402721243346332,False,양산
81,경상남도,의령군,2069.0,4507.0,9450.0,13562.0,14549.0,28111.0,0.4378835978835979,True,의령
